,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Ledell Eackles,1989,1998,G-F,6-5	,220,"November 24, 1966",University of New Orleans
1,Jim Eakins,1969,1978,C,6-11	,215,"May 24, 1946",Brigham Young University
2,Acie Earl,1994,1997,F-C,6-10	,240,"June 23, 1970",University of Iowa
3,Ed Earle,1954,1954,F,6-3	,190,"April 28, 1927",Loyola University of Chicago
4,Cleanthony Early,2015,2016,F,6-8	,210,"April 17, 1991",Wichita State University
5,Penny Early,1969,1969,G,5-3	,114,"May 30, 1943",
6,Mark Eaton,1983,1993,C,7-4	,275,"January 24, 1957","University of California, Los Angeles"
7,Jerry Eaves,1983,1987,G,6-4	,180,"February 8, 1959",University of Louisville
8,Devin Ebanks,2011,2013,F,6-9	,215,"October 28, 1989",West Virginia University
9,Bill Ebben,1958,1958,G,6-4	,190,"October 7, 1935",University of Detroit Mercy
10,Al Eberhard,1975,1978,F,6-6	,225,"May 10, 1952",University of Missouri
11,Ndudi Ebi,2004,2005,F,6-9	,200,"June 18, 1984",
12,Roy Ebron,1974,1974,C,6-9	,220,"August 31, 1951",University of Louisiana at Lafayette
13,Jarell Eddie,2016,2018,G-F,6-7	,218,"October 30, 1991",Virginia Polytechnic Institute and State University
14,Patrick Eddie,1992,1992,C,6-11	,240,"December 27, 1967","Arkansas State University, University of Mississippi"
15,Dike Eddleman,1950,1953,F-G,6-3	,189,"December 27, 1922",University of Illinois at Urbana-Champaign
16,Kenton Edelin,1985,1985,F,6-8	,205,"May 24, 1962",University of Virginia
17,Charles Edge,1974,1975,F,6-6	,210,"February 23, 1950",LeMoyne-Owen College
18,Bobby Edmonds,1968,1970,F,6-6	,220,"March 8, 1941",Tennessee State University
19,Keith Edmonson,1983,1984,G,6-5	,195,"September 28, 1960",Purdue University
20,Tyus Edney,1996,2001,G,5-10	,152,"February 14, 1973","University of California, Los Angeles"
21,Bill Edwards,1994,1994,F,6-8	,215,"September 22, 1971",Wright State University
22,Blue Edwards,1990,1999,G-F,6-4	,200,"October 31, 1965",East Carolina University
23,Corsley Edwards,2005,2005,F,6-9	,275,"March 5, 1979",Central Connecticut State University
