,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Skal Labissiere,2017,2018,F,6-11	,225.0,"March 18, 1996",University of Kentucky
1,Reggie Lacefield,1969,1969,G-F,6-5	,230.0,"April 10, 1945",Western Michigan University
2,Edgar Lacey,1969,1969,F,6-6	,190.0,"August 2, 1944","University of California, Los Angeles"
3,Sam Lacey,1971,1983,C,6-10	,235.0,"March 28, 1948",New Mexico State University
4,Bob Lackey,1973,1974,G-F,6-5	,200.0,"April 4, 1949",Marquette University
5,Fred LaCour,1961,1963,G-F,6-5	,210.0,"February 7, 1938",University of San Francisco
6,Wendell Ladner,1971,1975,F,6-5	,220.0,"October 6, 1948",University of Southern Mississippi
7,Christian Laettner,1993,2005,F-C,6-11	,235.0,"August 17, 1969",Duke University
8,Oliver Lafayette,2010,2010,G,6-2	,190.0,"May 6, 1984",University of Houston
9,Raef LaFrentz,1999,2008,F-C,6-11	,240.0,"May 29, 1976",University of Kansas
10,Tom LaGarde,1978,1985,C-F,6-10	,220.0,"February 10, 1955",University of North Carolina
11,Bill Laimbeer,1981,1994,C,6-11	,245.0,"May 19, 1957",University of Notre Dame
12,Pete Lalich,1947,1947,F,6-2	,190.0,"June 23, 1920",Ohio University
13,Bo Lamar,1974,1977,G,6-1	,180.0,"April 7, 1951",University of Louisiana at Lafayette
14,Doron Lamb,2013,2014,G,6-4	,210.0,"November 6, 1991",University of Kentucky
15,Jeremy Lamb,2013,2018,G-F,6-5	,185.0,"May 30, 1992",University of Connecticut
16,John Lambert,1976,1982,C-F,6-10	,225.0,"January 14, 1953",University of Southern California
17,Jeff Lamp,1982,1989,F-G,6-6	,195.0,"March 9, 1959",University of Virginia
18,Maciej Lampe,2004,2006,C,6-11	,275.0,"February 5, 1985",
19,Jim Lampley,1987,1987,C,6-10	,230.0,"July 2, 1960","Vanderbilt University, University of Arkansas at Little Rock"
20,Sean Lampley,2003,2004,F,6-7	,227.0,"September 3, 1979",University of California
21,Carl Landry,2008,2016,F,6-9	,248.0,"September 19, 1983",Purdue University
22,Marcus Landry,2010,2010,F,6-7	,230.0,"November 1, 1985",University of Wisconsin
23,Mark Landsberger,1978,1984,F-C,6-8	,215.0,"May 21, 1955","University of Minnesota, Arizona State University"
24,Jerome Lane,1989,1993,F,6-6	,230.0,"December 4, 1966",University of Pittsburgh
25,Andrew Lang,1989,2000,C,6-11	,245.0,"June 28, 1966",University of Arkansas
26,Antonio Lang,1995,2000,F-G,6-8	,205.0,"May 15, 1972",Duke University
27,James Lang,2007,2007,C,6-10	,285.0,"October 17, 1983",
28,Trajan Langdon,2000,2002,G,6-3	,197.0,"May 13, 1976",Duke University
29,Keith Langford,2008,2008,G,6-4	,215.0,"September 15, 1983",University of Kansas
30,Dan Langhi,2001,2004,F,6-11	,220.0,"November 28, 1977",Vanderbilt University
31,Bob Lanier*,1971,1984,C,6-11	,250.0,"September 10, 1948",St. Bonaventure University
32,Stu Lantz,1969,1976,G,6-3	,175.0,"July 13, 1946",University of Nebraska
33,Nicolas Laprovittola,2017,2017,G,6-4	,180.0,"January 31, 1990",
34,York Larese,1962,1962,G,6-4	,183.0,"July 18, 1938",University of North Carolina
35,Shane Larkin,2014,2018,G,5-11	,175.0,"October 2, 1992",University of Miami
36,Rusty LaRue,1998,2004,G,6-2	,210.0,"December 10, 1973",Wake Forest University
37,Rudy LaRusso,1960,1969,F-C,6-7	,220.0,"November 11, 1937",Dartmouth College
38,John Laskowski,1976,1977,G,6-6	,185.0,"June 7, 1953",Indiana University
39,Stephane Lasme,2008,2008,F,6-8	,215.0,"December 17, 1982",University of Massachusetts Amherst
40,Dave Lattin,1968,1973,F-C,6-6	,225.0,"December 23, 1943",University of Texas at El Paso
41,Priest Lauderdale,1997,1998,C,7-4	,325.0,"August 31, 1973",Central State University
42,Rich Laurel,1978,1978,G,6-6	,190.0,"July 11, 1954",Hofstra University
43,Harry Laurie,1971,1971,G,6-1	,178.0,"November 2, 1944",Saint Peter's College
44,Walt Lautenbach,1950,1950,G-F,6-2	,185.0,"November 17, 1922",University of Wisconsin
45,Joffrey Lauvergne,2015,2018,C-F,6-11	,220.0,"September 30, 1991",
46,Tony Lavelli,1950,1951,F,6-3	,185.0,"July 11, 1926",Yale University
47,Zach LaVine,2015,2018,G,6-5	,189.0,"March 10, 1995","University of California, Los Angeles"
48,Bob Lavoy,1951,1954,F-C,6-7	,185.0,"June 29, 1926",Western Kentucky University
49,Acie Law,2008,2011,G,6-3	,195.0,"January 25, 1985",Texas A&M University
50,Gani Lawal,2011,2011,F,6-9	,234.0,"November 7, 1988",Georgia Institute of Technology
51,Edmund Lawrence,1981,1981,C,7-0	,228.0,"December 8, 1952",McNeese State University
52,Jason Lawson,1998,1998,C,6-11	,240.0,"September 2, 1974",Villanova University
53,Ty Lawson,2010,2017,G,5-11	,195.0,"November 3, 1987",University of North Carolina
54,Jake Layman,2017,2018,F,6-9	,210.0,"March 7, 1994",University of Maryland
55,Mo Layton,1972,1978,G,6-1	,180.0,"December 24, 1948",University of Southern California
56,T.J. Leaf,2018,2018,F,6-10	,222.0,"April 30, 1997","University of California, Los Angeles"
57,Manny Leaks,1969,1974,C-F,6-8	,225.0,"November 27, 1945",Niagara University
58,Hal Lear,1957,1957,G,6-0	,163.0,"January 31, 1935",Temple University
59,Allen Leavell,1980,1989,G,6-1	,170.0,"May 27, 1957",Oklahoma City University
60,Jeff Lebo,1990,1990,G,6-2	,180.0,"October 5, 1966",University of North Carolina
61,Eric Leckner,1989,1997,C-F,6-11	,265.0,"May 27, 1966",University of Wyoming
62,Ricky Ledo,2014,2015,G,6-7	,195.0,"September 10, 1992",
63,Butch Lee,1979,1980,G,6-0	,185.0,"December 5, 1956",Marquette University
64,Clyde Lee,1967,1976,F-C,6-10	,205.0,"March 14, 1944",Vanderbilt University
65,Courtney Lee,2009,2018,G,6-5	,200.0,"October 3, 1985",Western Kentucky University
66,Damion Lee,2018,2018,G,6-6	,210.0,"October 21, 1992","Drexel University, University of Louisville"
67,David Lee,1968,1969,F,6-7	,225.0,"March 31, 1942",University of San Francisco
68,David Lee,2006,2017,F,6-9	,245.0,"April 29, 1983",University of Florida
69,Dick Lee,1968,1968,F,6-6	,,,University of Washington
70,Doug Lee,1992,1995,G-F,6-5	,200.0,"October 24, 1964","Texas A&M University, Purdue University"
71,George Lee,1961,1968,F-G,6-4	,200.0,"November 23, 1936",University of Michigan
72,Greg Lee,1975,1976,G,6-3	,190.0,"December 12, 1951","University of California, Los Angeles"
73,Keith Lee,1986,1989,F-C,6-10	,215.0,"December 28, 1962",University of Memphis
74,Kurk Lee,1991,1991,G,6-3	,190.0,"June 3, 1967","Western Kentucky University, Towson University"
75,Malcolm Lee,2012,2015,G,6-5	,200.0,"May 22, 1990","University of California, Los Angeles"
76,Rock Lee,1982,1982,C,6-10	,220.0,"May 1, 1955","University of California, San Diego State University"
77,Ron Lee,1977,1982,G,6-4	,193.0,"November 2, 1952",University of Oregon
78,Russ Lee,1973,1975,G-F,6-5	,185.0,"January 27, 1950",Marshall University
79,Ed Leede,1950,1951,F-G,6-3	,185.0,"July 17, 1927",Dartmouth College
80,Hank Lefkowitz,1947,1947,F,6-2	,190.0,"August 31, 1923",Case Western Reserve University
81,Tim Legler,1990,2000,G,6-4	,200.0,"December 26, 1966",La Salle University
82,George Lehmann,1968,1974,G,6-0	,180.0,"May 1, 1942",Campbell University
83,"Walt Lemon, Jr.",2018,2018,G,6-3	,180.0,"July 26, 1992",Bradley University
84,Alex Len,2014,2018,C,7-1	,260.0,"June 16, 1993",University of Maryland
85,Voshon Lenard,1996,2006,G,6-4	,205.0,"May 14, 1973",University of Minnesota
86,Leary Lentz,1968,1969,F,6-6	,200.0,"February 23, 1945",University of Houston
87,Gary Leonard,1990,1992,C,7-1	,250.0,"February 16, 1967",University of Missouri
88,Kawhi Leonard,2012,2018,F,6-7	,230.0,"June 29, 1991",San Diego State University
89,Meyers Leonard,2013,2018,C-F,7-1	,245.0,"February 27, 1992",University of Illinois at Urbana-Champaign
90,Slick Leonard*,1957,1963,G,6-3	,185.0,"July 17, 1932",Indiana University
91,Jim Les,1989,1995,G,5-11	,165.0,"August 18, 1963","Cleveland State University, Bradley University"
92,Travis Leslie,2012,2012,G,6-4	,205.0,"March 29, 1990",University of Georgia
93,Ronnie Lester,1981,1986,G,6-2	,175.0,"January 1, 1959",University of Iowa
94,Clifford Lett,1990,1991,G,6-3	,170.0,"December 23, 1965",University of Florida
95,Jon Leuer,2012,2018,F,6-10	,228.0,"May 14, 1989",University of Wisconsin
96,Andrew Levane,1949,1953,F-G,6-2	,190.0,"April 11, 1920",St. John's University
97,Fat Lever,1983,1994,G,6-3	,170.0,"August 18, 1960",Arizona State University
98,Caris LeVert,2017,2018,G-F,6-7	,203.0,"August 25, 1994",University of Michigan
99,Cliff Levingston,1983,1995,F,6-8	,210.0,"January 4, 1961",Wichita State University
100,Bobby Lewis,1968,1971,G,6-3	,175.0,"March 20, 1945",University of North Carolina
101,Cedric Lewis,1996,1996,F-C,6-10	,235.0,"September 24, 1969",University of Maryland
102,Freddie Lewis,1949,1950,F-G,6-2	,195.0,"January 6, 1921",Eastern Kentucky University
103,Freddie Lewis,1967,1977,G,6-0	,175.0,"July 1, 1943",Arizona State University
104,Grady Lewis,1947,1949,F-C,6-7	,215.0,"March 25, 1917",University of Oklahoma
105,Martin Lewis,1996,1997,F,6-5	,210.0,"April 28, 1975","Butler County Community College, Seward County Community College"
106,Mike Lewis,1969,1974,C-F,6-8	,225.0,"March 18, 1946",Duke University
107,Quincy Lewis,2000,2004,F,6-7	,215.0,"June 26, 1977",University of Minnesota
108,Ralph Lewis,1988,1990,G,6-6	,200.0,"March 28, 1963",La Salle University
109,Rashard Lewis,1999,2014,F,6-10	,215.0,"August 8, 1979",
110,Reggie Lewis,1988,1993,G-F,6-7	,195.0,"November 21, 1965",Northeastern University
111,Marcus Liberty,1991,1994,F,6-8	,205.0,"October 27, 1968",University of Illinois at Urbana-Champaign
112,Todd Lichti,1990,1994,G-F,6-4	,205.0,"January 8, 1967",Stanford University
113,Barry Liebowitz,1968,1968,G,6-2	,180.0,"September 10, 1945",Long Island University
114,DeAndre Liggins,2012,2018,G,6-6	,209.0,"March 31, 1988",University of Kentucky
115,Bill Ligon,1975,1975,G,6-4	,180.0,"May 29, 1952",Vanderbilt University
116,Goose Ligon,1968,1974,F-C,6-7	,210.0,"February 22, 1944",
117,Damian Lillard,2013,2018,G,6-3	,195.0,"July 15, 1990",Weber State University
118,Jeremy Lin,2011,2018,G,6-3	,200.0,"August 23, 1988",Harvard University
119,Steve Lingenfelter,1983,1984,F,6-9	,225.0,"June 10, 1958","University of Minnesota, South Dakota State University"
120,Alton Lister,1982,1998,C-F,7-0	,240.0,"October 1, 1958",Arizona State University
121,Samuel Little,1970,1970,G,6-0	,180.0,"March 29, 1946",Delta State University
122,Gene Littles,1970,1975,G,6-0	,160.0,"June 29, 1943",High Point University
123,Randy Livingston,1997,2007,G,6-4	,209.0,"April 2, 1975",Louisiana State University
124,Shaun Livingston,2005,2018,G,6-7	,192.0,"September 11, 1985",
125,Ron Livingstone,1950,1951,C,6-10	,220.0,"October 9, 1925",University of Wyoming
126,Horacio Llamas Grey,1997,1998,C,6-11	,285.0,"July 17, 1973",Grand Canyon University
127,Bobby Lloyd,1968,1969,G,6-2	,184.0,"January 3, 1946",Rutgers University
128,Chuck Lloyd,1971,1971,C-F,6-8	,220.0,"May 22, 1947",Yankton College
129,Earl Lloyd*,1951,1960,F-C,6-5	,200.0,"April 3, 1928",West Virginia State University
130,Lewis Lloyd,1982,1990,G-F,6-6	,205.0,"February 22, 1959",Drake University
131,Scott Lloyd,1977,1983,C-F,6-10	,230.0,"December 19, 1952",Arizona State University
132,Riney Lochmann,1968,1970,F,6-6	,215.0,"May 26, 1944",University of Kansas
133,Bob Lochmueller,1953,1953,F,6-5	,185.0,"June 5, 1927",University of Louisville
134,Rob Lock,1989,1989,F,6-9	,225.0,"May 22, 1966",University of Kentucky
135,Darrell Lockhart,1984,1984,C,6-9	,245.0,"September 14, 1960",Auburn University
136,Ian Lockhart,1991,1991,F,6-8	,240.0,"June 25, 1967",University of Tennessee
137,Kevin Loder,1982,1984,F-G,6-6	,205.0,"March 15, 1959","Kentucky State University, Alabama State University"
138,Don Lofgran,1951,1954,F-C,6-5	,200.0,"November 8, 1929",University of San Francisco
139,Henry Logan,1969,1970,G,6-0	,180.0,"March 14, 1946",Western Carolina University
140,John Logan,1947,1951,G,6-2	,175.0,"January 1, 1921",Indiana University
141,Brad Lohaus,1988,1998,F-C,6-11	,230.0,"September 29, 1964",University of Iowa
142,Art Long,2001,2003,F,6-9	,250.0,"October 1, 1972",University of Cincinnati
143,Grant Long,1989,2003,F,6-8	,225.0,"March 12, 1966",Eastern Michigan University
144,John Long,1979,1997,G-F,6-5	,195.0,"August 28, 1956",University of Detroit Mercy
145,Paul Long,1968,1971,G,6-2	,180.0,"February 8, 1944",Wake Forest University
146,Shawn Long,2017,2017,C-F,6-9	,255.0,"January 29, 1993",University of Louisiana at Lafayette
147,Willie Long,1972,1974,F-C,6-8	,225.0,"March 1, 1950",University of New Mexico
