,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Dwyane Wade,2004,2018,G,6-4	,220.0,"January 17, 1982",Marquette University
1,Mark Wade,1988,1990,G,5-11	,160.0,"October 15, 1965","University of Oklahoma, University of Nevada, Las Vegas"
2,Von Wafer,2006,2012,G,6-5	,210.0,"July 21, 1985",Florida State University
3,Clint Wager,1950,1950,C-F,6-6	,210.0,"January 20, 1920",Saint Mary's University of Minnesota
4,Dajuan Wagner,2003,2007,G,6-2	,200.0,"February 4, 1983",University of Memphis
5,Danny Wagner,1950,1950,G,6-0	,170.0,"August 1, 1922",University of Texas at Austin
6,Milt Wagner,1988,1991,G,6-5	,185.0,"February 20, 1963",University of Louisville
7,Phillip Wagner,1969,1969,G,6-2	,190.0,"December 18, 1945",Georgia Institute of Technology
8,Dion Waiters,2013,2018,G,6-4	,225.0,"December 10, 1991",Syracuse University
9,Granville Waiters,1984,1988,C,6-11	,225.0,"January 8, 1961",Ohio State University
10,Andre Wakefield,1979,1980,G,6-3	,175.0,"January 11, 1955",Loyola University of Chicago
11,Neal Walk,1970,1977,C,6-10	,220.0,"July 29, 1948",University of Florida
12,Andy Walker,1977,1977,G,6-4	,190.0,"March 25, 1955",Niagara University
13,Antoine Walker,1997,2008,F,6-8	,224.0,"August 12, 1976",University of Kentucky
14,Brady Walker,1949,1952,F-C,6-6	,205.0,"March 15, 1921",Brigham Young University
15,Chet Walker*,1963,1975,F-G,6-6	,212.0,"February 22, 1940",Bradley University
16,Darrell Walker,1984,1993,G,6-4	,180.0,"March 9, 1961",University of Arkansas
17,Foots Walker,1975,1984,G,6-0	,184.0,"May 21, 1951",State University of West Georgia
18,Henry Walker,2009,2015,F,6-6	,220.0,"October 9, 1987",Kansas State University
19,Horace Walker,1962,1962,F,6-3	,210.0,"April 17, 1937",Michigan State University
20,Jimmy Walker,1968,1976,G,6-3	,195.0,"April 8, 1944",Providence College
21,Kemba Walker,2012,2018,G,6-1	,172.0,"May 8, 1990",University of Connecticut
22,Kenny Walker,1987,1995,F,6-8	,210.0,"August 18, 1964",University of Kentucky
23,Phil Walker,1978,1978,G,6-3	,180.0,"March 20, 1956",Millersville University of Pennsylvania
24,Samaki Walker,1997,2006,F,6-9	,240.0,"February 25, 1976",University of Louisville
25,Wally Walker,1977,1984,F,6-7	,190.0,"July 18, 1954",University of Virginia
26,John Wall,2011,2018,G,6-4	,195.0,"September 6, 1990",University of Kentucky
27,Ben Wallace,1997,2012,F-C,6-9	,240.0,"September 10, 1974",Virginia Union University
28,Gerald Wallace,2002,2015,F,6-7	,215.0,"July 23, 1982",University of Alabama
29,John Wallace,1997,2004,F,6-8	,225.0,"February 9, 1974",Syracuse University
30,Rasheed Wallace,1996,2013,F-C,6-10	,225.0,"September 17, 1974",University of North Carolina
31,Red Wallace,1947,1947,G,6-1	,185.0,"July 12, 1918",University of Scranton
32,Tyrone Wallace,2018,2018,G,6-5	,205.0,"June 10, 1994",University of California
33,Dwight Waller,1969,1972,F,6-6	,220.0,"October 5, 1945",Tennessee State University
34,Jamie Waller,1988,1988,G,6-4	,215.0,"November 20, 1964",Virginia Union University
35,Taurean Waller-Prince,2017,2018,F,6-8	,220.0,"March 22, 1994",Baylor University
36,Jim Walsh,1958,1958,F,6-4	,195.0,"August 29, 1930",Stanford University
37,Matt Walsh,2006,2006,G-F,6-6	,205.0,"December 2, 1982",University of Florida
38,Rex Walters,1994,2000,G,6-4	,190.0,"March 12, 1970","Northwestern University, University of Kansas"
39,Paul Walther,1950,1955,G-F,6-2	,160.0,"March 23, 1927",University of Tennessee
40,Isaac Walthour,1954,1954,G,5-11	,163.0,"August 25, 1930",
41,Bill Walton*,1975,1987,C-F,6-11	,210.0,"November 5, 1952","University of California, Los Angeles"
42,Derrick Walton,2018,2018,G,6-1	,189.0,"April 3, 1995",University of Michigan
43,Lloyd Walton,1977,1981,G,6-0	,160.0,"November 23, 1953",Marquette University
44,Luke Walton,2004,2013,F,6-8	,235.0,"March 28, 1980",University of Arizona
45,Bobby Wanzer*,1949,1957,G,6-0	,170.0,"June 4, 1921",Seton Hall University
46,Perry Warbington,1975,1975,G,6-2	,165.0,"September 7, 1952",Georgia Southern University
47,Charlie Ward,1995,2005,G,6-2	,190.0,"October 12, 1970",Florida State University
48,Gerry Ward,1964,1967,G,6-4	,195.0,"September 6, 1941",Boston College
49,Henry Ward,1976,1977,G-F,6-4	,195.0,"January 30, 1952",Jackson State University
50,Casper Ware,2014,2014,G,5-10	,175.0,"January 17, 1990","California State University, Long Beach"
51,Jim Ware,1967,1969,F,6-7	,210.0,"May 2, 1944",Oklahoma City University
52,Ben Warley,1963,1970,F-G,6-5	,200.0,"September 4, 1936",Tennessee State University
53,Bob Warlick,1966,1970,G-F,6-5	,200.0,"March 20, 1941",Pepperdine University
54,Cornell Warner,1971,1977,F-C,6-9	,220.0,"August 12, 1948",Jackson State University
