,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Whitey Kachan,1949,1949,G,6-2	,175.0,"September 15, 1925",DePaul University
1,George Kaftan,1949,1953,F,6-3	,190.0,"February 22, 1928",College of the Holy Cross
2,Ed Kalafat,1955,1957,C-F,6-6	,245.0,"October 13, 1932",University of Minnesota
3,Chris Kaman,2004,2016,C,7-0	,265.0,"April 28, 1982",Central Michigan University
4,Frank Kaminsky,2016,2018,F-C,7-0	,242.0,"April 4, 1993",University of Wisconsin
5,Enes Kanter,2012,2018,C,6-11	,245.0,"May 20, 1992",
6,Ralph Kaplowitz,1947,1948,G-F,6-2	,170.0,"May 18, 1919",New York University
7,Jason Kapono,2004,2012,F,6-8	,213.0,"February 4, 1981","University of California, Los Angeles"
8,Tony Kappen,1947,1947,G,5-10	,165.0,"April 13, 1919",
9,Sergey Karasev,2014,2016,G-F,6-7	,208.0,"October 26, 1993",
10,Coby Karl,2008,2010,G,6-5	,215.0,"March 6, 1983",Boise State University
11,George Karl,1974,1978,,nan	,,"May 12, 1952",University of North Carolina
12,Ed Kasid,1947,1947,G,5-11	,185.0,"August 13, 1923",
13,Mario Kasun,2005,2006,C,7-1	,260.0,"April 5, 1980",
14,Leo Katkaveck,1949,1950,G,6-0	,185.0,"April 17, 1923",North Carolina State University
15,Bob Kauffman,1969,1975,F-C,6-8	,240.0,"July 13, 1946",Guilford College
16,Sasha Kaun,2016,2016,C,6-11	,260.0,"May 8, 1985",University of Kansas
17,Wilbert Kautz,1947,1947,G-F,6-0	,180.0,"September 7, 1915",Loyola University of Chicago
18,Clarence Kea,1981,1982,F,6-6	,218.0,"February 2, 1959",Lamar University
19,Mike Kearns,1955,1955,G,6-2	,178.0,"June 18, 1929",Princeton University
20,Tommy Kearns,1959,1959,G,5-11	,185.0,"October 6, 1936",University of North Carolina
21,Adam Keefe,1993,2001,F,6-9	,230.0,"February 22, 1970",Stanford University
22,Harold Keeling,1986,1986,G,6-4	,185.0,"September 18, 1963",Santa Clara University
23,Bill Keller,1970,1976,G,5-10	,177.0,"August 30, 1947",Purdue University
24,Gary Keller,1968,1969,F-C,6-9	,220.0,"June 13, 1944",University of Florida
25,Ken Keller,1947,1947,G,6-1	,180.0,"August 16, 1922",St. John's University
26,Rich Kelley,1976,1986,C-F,7-0	,235.0,"March 23, 1953",Stanford University
27,Clark Kellogg,1983,1987,F,6-7	,225.0,"July 2, 1961",Ohio State University
28,Arvesta Kelly,1968,1972,G,6-2	,175.0,"November 20, 1945",Lincoln University of Missouri
29,Jerry Kelly,1947,1948,F,6-2	,172.0,"June 14, 1918",Marshall University
30,Ryan Kelly,2014,2017,F,6-11	,230.0,"April 9, 1991",Duke University
31,Tom Kelly,1949,1949,G,6-0	,170.0,"March 5, 1924",New York University
32,Greg Kelser,1980,1985,F,6-7	,190.0,"September 17, 1957",Michigan State University
33,Ben Kelso,1974,1974,G,6-3	,195.0,"April 11, 1949",Central Michigan University
34,Shawn Kemp,1990,2003,F-C,6-10	,230.0,"November 26, 1969",Trinity Valley Community College
35,Tim Kempton,1987,1998,F-C,6-10	,245.0,"January 25, 1964",University of Notre Dame
36,Frank Kendrick,1975,1975,F,6-6	,198.0,"September 11, 1950",Purdue University
37,Luke Kennard,2018,2018,G,6-6	,206.0,"June 24, 1996",Duke University
38,D.J. Kennedy,2012,2012,F,6-6	,215.0,"November 5, 1989",St. John's University
39,Goo Kennedy,1972,1977,F-C,6-5	,205.0,"August 23, 1949",Texas Christian University
40,Joe Kennedy,1969,1971,F,6-6	,210.0,"January 12, 1947",Duke University
41,Pickles Kennedy,1961,1961,G,5-11	,180.0,"May 17, 1938",Temple University
42,Larry Kenon,1974,1983,F,6-9	,205.0,"December 13, 1952",University of Memphis
43,Billy Kenville,1954,1960,G-F,6-2	,187.0,"December 1, 1930",St. Bonaventure University
44,Jonathan Kerner,1999,1999,C,6-11	,245.0,"June 6, 1974","Florida State University, East Carolina University"
45,Red Kerr,1955,1966,C-F,6-9	,230.0,"July 17, 1932",University of Illinois at Urbana-Champaign
46,Steve Kerr,1989,2003,G,6-3	,175.0,"September 27, 1965",University of Arizona
47,Jack Kerris,1950,1953,F-C,6-6	,215.0,"January 30, 1925",Loyola University of Chicago
48,Jerome Kersey,1985,2001,F,6-7	,215.0,"June 26, 1962",Longwood University
