,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Sheldon Mac,2017,2017,G,6-5	,200.0,"December 21, 1992",University of Miami
1,Mike Macaluso,1974,1974,F,6-5	,210.0,"July 20, 1951",Canisius College
2,Ed Macauley*,1950,1959,C-F,6-8	,185.0,"March 22, 1928",Saint Louis University
3,Todd MacCulloch,2000,2003,C,7-0	,280.0,"January 27, 1976",University of Washington
4,Ronnie MacGilvray,1955,1955,G,6-2	,185.0,"July 20, 1930",St. John's University
5,Scott Machado,2013,2013,G,6-1	,205.0,"June 8, 1990",Iona College
6,Arvydas Macijauskas,2006,2006,G,6-4	,214.0,"January 19, 1980",
7,Ollie Mack,1980,1982,G,6-3	,185.0,"June 6, 1957",East Carolina University
8,Sam Mack,1993,2002,F-G,6-7	,220.0,"May 26, 1970","Iowa State University, Tyler Junior College, University of Houston"
9,Shelvin Mack,2012,2018,G,6-3	,203.0,"April 22, 1990",Butler University
10,Malcolm Mackey,1994,1994,F-C,6-9	,248.0,"July 11, 1970",Georgia Institute of Technology
11,Rudy Macklin,1982,1984,F-G,6-7	,205.0,"February 19, 1958",Louisiana State University
12,Vernon Macklin,2012,2012,F,6-10	,227.0,"September 20, 1986","Georgetown University, University of Florida"
13,Johnny Macknowsky,1950,1951,G-F,6-0	,180.0,"January 7, 1923",Seton Hall University
14,Don MacLean,1993,2001,F,6-10	,235.0,"January 16, 1970","University of California, Los Angeles"
15,Mark Macon,1992,1999,G,6-5	,185.0,"April 14, 1969",Temple University
16,Kyle Macy,1981,1987,G,6-3	,175.0,"April 9, 1957","Purdue University, University of Kentucky"
17,Jack Maddox,1949,1949,F-G,6-3	,185.0,"December 10, 1919",West Texas A&M University
18,Tito Maddox,2003,2003,G,6-4	,190.0,"June 7, 1981","California State University, Fresno"
19,Gerald Madkins,1994,1998,G,6-4	,200.0,"April 18, 1969","University of California, Los Angeles"
20,Mark Madsen,2001,2009,F,6-9	,240.0,"January 28, 1976",Stanford University
21,Norm Mager,1951,1951,F,6-5	,185.0,"March 23, 1926",City College of New York
22,Josh Magette,2018,2018,G,6-1	,160.0,"November 28, 1989",Alabama - Huntsville
23,Corey Maggette,2000,2013,F,6-6	,218.0,"November 12, 1979",Duke University
24,Dave Magley,1983,1983,F,6-8	,202.0,"November 24, 1959",University of Kansas
25,Jamaal Magloire,2001,2012,C,6-11	,259.0,"May 21, 1978",University of Kentucky
26,Randolph Mahaffey,1968,1971,F,6-7	,210.0,"September 28, 1945",Clemson University
27,Ian Mahinmi,2008,2018,C,6-11	,250.0,"November 5, 1986",
28,John Mahnken,1947,1953,C,6-8	,220.0,"June 16, 1922",Georgetown University
29,Brian Mahoney,1973,1973,G,6-3	,175.0,"December 17, 1948",Manhattan College
30,Mo Mahoney,1953,1954,F,6-2	,205.0,"November 20, 1927",Brown University
31,Rick Mahorn,1981,1999,C-F,6-10	,240.0,"September 21, 1958",Hampton University
32,Dan Majerle,1989,2002,G-F,6-6	,215.0,"September 9, 1965",Central Michigan University
33,Renaldo Major,2007,2007,F,6-7	,200.0,"May 7, 1982","South Plains College, California State University, Fresno"
34,Thon Maker,2017,2018,F-C,7-1	,216.0,"February 25, 1997",
35,Lionel Malamed,1949,1949,G,5-9	,150.0,"November 15, 1924",City College of New York
36,Jeff Malone,1984,1996,G,6-4	,205.0,"June 28, 1961",Mississippi State University
37,Karl Malone*,1986,2004,F,6-9	,250.0,"July 24, 1963",Louisiana Tech University
38,Moses Malone*,1975,1995,C-F,6-10	,215.0,"March 23, 1955",
39,Matt Maloney,1997,2003,G,6-3	,192.0,"December 6, 1971","Vanderbilt University, University of Pennsylvania"
40,Steve Malovic,1980,1980,F,6-10	,230.0,"July 21, 1956","University of Southern California, San Diego State University"
41,Mike Maloy,1971,1973,F,6-7	,215.0,"May 10, 1949",Davidson College
42,Ted Manakas,1974,1974,G,6-2	,180.0,"February 22, 1951",Princeton University
43,John Mandic,1949,1950,F-C,6-4	,205.0,"October 3, 1919",Oregon State University
44,Frank Mangiapane,1947,1947,G,5-10	,195.0,"August 5, 1925",New York University
45,Danny Manning,1989,2003,F-C,6-10	,230.0,"May 17, 1966",University of Kansas
46,Ed Manning,1968,1976,F,6-7	,210.0,"January 2, 1944",Jackson State University
47,Guy Manning,1968,1969,F,6-6	,195.0,"February 4, 1944",Prairie View A&M University
48,Rich Manning,1996,1997,C,6-11	,253.0,"June 23, 1970","Syracuse University, University of Washington"
49,Pace Mannion,1984,1989,G,6-7	,190.0,"September 22, 1960",University of Utah
50,Nick Mantis,1960,1963,G,6-3	,190.0,"December 7, 1935",Northwestern University
51,Pete Maravich*,1971,1980,G,6-5	,197.0,"June 22, 1947",Louisiana State University
52,Press Maravich,1947,1947,G,6-0	,185.0,"August 20, 1920",Davis & Elkins College
53,Devyn Marble,2015,2016,G-F,6-6	,200.0,"September 21, 1992",University of Iowa
54,Roy Marble,1990,1994,G-F,6-6	,190.0,"December 13, 1966",University of Iowa
55,Stephon Marbury,1997,2009,G,6-2	,180.0,"February 20, 1977",Georgia Institute of Technology
56,Sarunas Marciulionis*,1990,1997,G,6-5	,200.0,"June 13, 1964",
57,Saul Mariaschin,1948,1948,G,5-11	,165.0,"September 1, 1924",Harvard University
58,Jack Marin,1967,1977,F-G,6-7	,200.0,"October 12, 1944",Duke University
59,Shawn Marion,2000,2015,F,6-7	,220.0,"May 7, 1978","University of Nevada, Las Vegas"
60,Boban Marjanovic,2016,2018,C,7-3	,290.0,"August 15, 1988",
61,Lauri Markkanen,2018,2018,F-C,7-0	,230.0,"May 22, 1997",University of Arizona
62,Damir Markota,2007,2007,C,6-10	,225.0,"December 26, 1985",
63,Sean Marks,1999,2011,F-C,6-10	,250.0,"August 23, 1975",University of California
64,Harvey Marlatt,1971,1973,G,6-3	,185.0,"August 26, 1948",Eastern Michigan University
65,Jim Marsh,1972,1972,F,6-7	,215.0,"April 26, 1946",University of Southern California
66,Ricky Marsh,1978,1978,G,6-3	,200.0,"March 10, 1954",Manhattan College
67,Donny Marshall,1996,2003,F,6-7	,230.0,"July 17, 1972",University of Connecticut
68,Donyell Marshall,1995,2009,F,6-9	,218.0,"May 18, 1973",University of Connecticut
69,Kendall Marshall,2013,2016,G,6-4	,200.0,"August 19, 1991",University of North Carolina
70,Rawle Marshall,2006,2007,G-F,6-9	,190.0,"February 20, 1982","Ball State University, Oakland University"
71,Tom Marshall,1955,1959,F-G,6-4	,215.0,"January 6, 1931",Western Kentucky University
72,Vester Marshall,1974,1974,F,6-7	,200.0,"December 22, 1948",University of Oklahoma
73,Bill Martin,1986,1988,F,6-7	,205.0,"August 16, 1962",Georgetown University
74,Bob Martin,1994,1995,C,7-0	,250.0,"October 7, 1969",University of Minnesota
75,Brian Martin,1986,1986,F,6-9	,212.0,"August 18, 1962",University of Kansas
76,Cartier Martin,2009,2015,F,6-7	,220.0,"November 20, 1984",Kansas State University
77,Cuonzo Martin,1996,1997,G-F,6-5	,213.0,"September 23, 1971",Purdue University
78,Darrick Martin,1995,2008,G,5-11	,170.0,"March 6, 1971","University of California, Los Angeles"
79,Dino Martin,1947,1948,G,5-8	,160.0,"May 25, 1920",Georgetown University
80,Don Martin,1947,1949,C-F,6-7	,210.0,"February 7, 1920",Central Missouri State University
81,Fernando Martin,1987,1987,C,6-9	,220.0,"March 25, 1962",
82,Jarell Martin,2016,2018,F,6-10	,239.0,"May 24, 1994",Louisiana State University
83,Jeff Martin,1990,1991,G,6-5	,195.0,"January 14, 1967",Murray State University
84,Kenyon Martin,2001,2015,F,6-9	,234.0,"December 30, 1977",University of Cincinnati
85,Kevin Martin,2005,2016,G,6-7	,199.0,"February 1, 1983",Western Carolina University
86,LaRue Martin,1973,1976,C,6-11	,208.0,"March 30, 1950",Loyola University of Chicago
87,Maurice Martin,1987,1988,F-G,6-6	,200.0,"July 2, 1964",Saint Joseph's University
88,Phil Martin,1955,1955,G,6-3	,190.0,"April 2, 1928",University of Toledo
89,Slater Martin*,1950,1960,G,5-10	,170.0,"October 22, 1925",University of Texas at Austin
90,Whitey Martin,1962,1962,G,6-2	,185.0,"April 11, 1939",St. Bonaventure University
91,Jamal Mashburn,1994,2004,F,6-8	,240.0,"November 29, 1972",University of Kentucky
92,Al Masino,1953,1954,G,5-10	,174.0,"February 5, 1928",Canisius College
93,Anthony Mason,1990,2003,F,6-7	,250.0,"December 14, 1966",Tennessee State University
94,Desmond Mason,2001,2010,F,6-7	,224.0,"October 11, 1977",Oklahoma State University
95,Frank Mason,2018,2018,G,6-0	,189.0,"April 3, 1994",University of Kansas
96,Roger Mason,2003,2014,G,6-5	,200.0,"September 10, 1980",University of Virginia
97,Tony Massenburg,1991,2005,F,6-9	,220.0,"July 31, 1967",University of Maryland
98,Eddie Mast,1971,1973,F-C,6-9	,220.0,"October 3, 1948",Temple University
99,Mangok Mathiang,2018,2018,C-F,6-10	,230.0,"October 8, 1992",University of Louisville
100,Johnny Mathis,1968,1968,F,6-6	,220.0,"July 14, 1943",Savannah State University
101,Wes Matthews,1981,1990,G,6-1	,170.0,"August 24, 1959",University of Wisconsin
102,Wesley Matthews,2010,2018,G,6-5	,220.0,"October 14, 1986",Marquette University
103,Ariel Maughan,1947,1951,F,6-4	,190.0,"February 23, 1923",Utah State University
104,Marlon Maxey,1993,1994,F,6-8	,250.0,"February 19, 1969","University of Minnesota, University of Texas at El Paso"
105,Jason Maxiell,2006,2015,F,6-7	,260.0,"February 18, 1983",University of Cincinnati
106,Cedric Maxwell,1978,1988,F,6-8	,205.0,"November 21, 1955",University of North Carolina at Charlotte
107,Vernon Maxwell,1989,2001,G,6-4	,180.0,"September 12, 1965",University of Florida
108,Don May,1969,1975,F,6-4	,200.0,"January 3, 1946",University of Dayton
109,Scott May,1977,1983,F,6-7	,215.0,"March 19, 1954",Indiana University
110,Sean May,2006,2010,F,6-9	,266.0,"April 4, 1984",University of North Carolina
111,Lee Mayberry,1993,1999,G,6-1	,172.0,"June 12, 1970",University of Arkansas
112,Clyde Mayes,1976,1977,F,6-8	,225.0,"March 17, 1953",Furman University
